ID Year,Year,ID Race,Race,Household Income by Race,Household Income by Race Moe,Geography,ID Geography
2022,"2022",0,"Total",160500,39996,"Census Tract 201, DeKalb County, GA","14000US13089020100"
2022,"2022",0,"Total",105000,41206,"Census Tract 202, DeKalb County, GA","14000US13089020200"
2022,"2022",0,"Total",161855,20358,"Census Tract 203, DeKalb County, GA","14000US13089020300"
2022,"2022",0,"Total",176250,58987,"Census Tract 204, DeKalb County, GA","14000US13089020400"
2022,"2022",0,"Total",83594,38438,"Census Tract 205, DeKalb County, GA","14000US13089020500"
2022,"2022",0,"Total",83205,14301,"Census Tract 206, DeKalb County, GA","14000US13089020600"
2022,"2022",0,"Total",93133,24789,"Census Tract 207, DeKalb County, GA","14000US13089020700"
2022,"2022",0,"Total",167910,22378,"Census Tract 208.01, DeKalb County, GA","14000US13089020801"
2022,"2022",0,"Total",112500,45316,"Census Tract 208.02, DeKalb County, GA","14000US13089020802"
2022,"2022",0,"Total",120000,25838,"Census Tract 224.01, DeKalb County, GA","14000US13089022401"
2022,"2022",0,"Total",154808,80059,"Census Tract 1, Fulton County, GA","14000US13121000100"
2022,"2022",0,"Total",127500,31439.999999999996,"Census Tract 4, Fulton County, GA","14000US13121000400"
2022,"2022",0,"Total",103167,37596,"Census Tract 7, Fulton County, GA","14000US13121000700"
2022,"2022",0,"Total",100278,16354,"Census Tract 10.01, Fulton County, GA","14000US13121001001"
2022,"2022",0,"Total",43938,17678,"Census Tract 10.02, Fulton County, GA","14000US13121001002"
2022,"2022",0,"Total",91943,5342,"Census Tract 14, Fulton County, GA","14000US13121001400"
2022,"2022",0,"Total",116385,27498,"Census Tract 16, Fulton County, GA","14000US13121001600"
2022,"2022",0,"Total",63455,10810,"Census Tract 21, Fulton County, GA","14000US13121002100"
2022,"2022",0,"Total",36050,15435.999999999998,"Census Tract 23, Fulton County, GA","14000US13121002300"
2022,"2022",0,"Total",32763,13329,"Census Tract 24, Fulton County, GA","14000US13121002400"
2022,"2022",0,"Total",32042,13516.000000000002,"Census Tract 25, Fulton County, GA","14000US13121002500"
2022,"2022",0,"Total",34688,19346,"Census Tract 26, Fulton County, GA","14000US13121002600"
2022,"2022",0,"Total",100718,11430,"Census Tract 29, Fulton County, GA","14000US13121002900"
2022,"2022",0,"Total",147067,29303,"Census Tract 30, Fulton County, GA","14000US13121003000"
2022,"2022",0,"Total",135247,51051,"Census Tract 31, Fulton County, GA","14000US13121003100"
2022,"2022",0,"Total",113214,19254,"Census Tract 32, Fulton County, GA","14000US13121003200"
2022,"2022",0,"Total",53254,14328.999999999998,"Census Tract 35, Fulton County, GA","14000US13121003500"
2022,"2022",0,"Total",77037,17537,"Census Tract 36, Fulton County, GA","14000US13121003600"
2022,"2022",0,"Total",40640,33865,"Census Tract 38, Fulton County, GA","14000US13121003800"
2022,"2022",0,"Total",33438,14567.999999999998,"Census Tract 39, Fulton County, GA","14000US13121003900"
2022,"2022",0,"Total",69333,20506,"Census Tract 40, Fulton County, GA","14000US13121004000"
2022,"2022",0,"Total",74041,21217,"Census Tract 41, Fulton County, GA","14000US13121004100"
2022,"2022",0,"Total",24464,6318,"Census Tract 42, Fulton County, GA","14000US13121004200"
2022,"2022",0,"Total",29311,3502,"Census Tract 44, Fulton County, GA","14000US13121004400"
2022,"2022",0,"Total",17279,8463,"Census Tract 48, Fulton County, GA","14000US13121004800"
